sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name,property type,furnishing,status,transaction,facing,floor,ownership,area sqft
1727,Vadodara,390020,5,5,10000,Akota,Villa,Furnished,Ready to Move,Resale,East,,Freehold,6000
1728,Vadodara,390020,2,2,8125,Akota,Apartment,Semi-Furnished,Ready to Move,Resale,South - East,2.0,Unknown,400
1729,Vadodara,390020,4,4,12273,Akota,House,Furnished,Ready to Move,Resale,North - East,,Freehold,1100
1730,Vadodara,390020,2,3,4125,Akota,Builder Floor,Semi-Furnished,Ready to Move,Resale,Unknown,3.0,Leasehold,1600
1731,Vadodara,390020,2,2,3070,Akota,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,3.0,Unknown,1140
1732,Vadodara,390020,4,4,5952,Akota,Apartment,Furnished,Ready to Move,Resale,Unknown,3.0,Unknown,2100
1733,Vadodara,390020,3,3,3636,Akota,Builder Floor,Semi-Furnished,Ready to Move,Resale,Unknown,3.0,Unknown,1650
1734,Vadodara,390020,2,2,3714,Akota,Apartment,Unfurnished,Ready to Move,Resale,North - East,7.0,Freehold,1050
1735,Vadodara,390020,2,3,7826,Akota,House,Unfurnished,Ready to Move,Resale,Unknown,,Unknown,1150
1736,Vadodara,390020,3,3,5500,Akota,Apartment,Unfurnished,Ready to Move,Resale,West,4.0,Freehold,900
1737,Vadodara,390020,4,5,7828,Akota,House,Furnished,Ready to Move,Resale,Unknown,,Unknown,2938
1738,Vadodara,390020,3,3,6684,Akota,House,Semi-Furnished,Ready to Move,Resale,Unknown,1.0,Unknown,1870
1739,Vadodara,390020,2,2,4583,Akota,Builder Floor,Unfurnished,Ready to Move,Resale,Unknown,5.0,Unknown,1200
1740,Vadodara,390020,3,3,3143,Akota,Apartment,Unfurnished,Ready to Move,Resale,Unknown,4.0,Unknown,1750
1741,Vadodara,390020,2,2,3500,Akota,Apartment,Furnished,Ready to Move,Resale,Unknown,3.0,Unknown,1200
1742,Vadodara,390020,2,2,5000,Akota,Builder Floor,Semi-Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,900
1743,Vadodara,390020,3,3,5534,Akota,Apartment,Unfurnished,Ready to Move,Resale,Unknown,3.0,Unknown,2801
1744,Vadodara,390020,2,2,4615,Akota,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,1300
1745,Vadodara,390020,2,3,7027,Akota,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,925
1746,Vadodara,390020,1,1,3200,Akota,Apartment,Unfurnished,Unknown,Resale,East,2.0,Freehold,750
1747,Vadodara,390020,1,2,4167,Akota,Apartment,Unfurnished,Ready to Move,Resale,Unknown,2.0,Unknown,600
1748,Vadodara,390020,2,3,4910,Akota,Apartment,Furnished,Ready to Move,Resale,Unknown,3.0,Freehold,1000
1749,Vadodara,390020,2,2,4459,Akota,Apartment,Semi-Furnished,Ready to Move,Resale,North,3.0,Freehold,740
1750,Vadodara,390020,4,4,10000,Akota,House,Furnished,Ready to Move,Resale,Unknown,,Unknown,1600
